rotors,rotor,nrevs_ave,nrevs_tot,corrotating,doR,J,ReD07,CT_mean,CT_std,CQ_mean,CQ_std,eta_mean,eta_std,nelements,nsteps_per_rev,xfoil,sigmafactor,conv_file,args_file,doR_ref,CT_mean_ref,CT_std_ref,CQ_mean_ref,CQ_std_ref,eta_mean_ref,eta_std_ref,normCT_mean,normCT_std,normCQ_mean,normCQ_std,normeta_mean,normeta_std
2,1,3,8,true,0.0,0.0,100000.0,0.06737613097629085,0.001555307999178382,0.007754042968272449,0.00012636269900004018,0.0,0.0,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cor_d0000,2.0,0.06844861200078572,0.0006727512563290491,0.00778371928824876,5.1552084051098056e-5,0.0,0.0,0.9843315884260361,2.3118619022209095,0.9961873856343826,2.451165676925697,NaN,NaN
2,2,3,8,true,0.0,0.0,100000.0,0.06737611701335144,0.0015553331736251571,0.007754042068406717,0.0001263642110927291,0.0,0.0,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cor_d0000,2.0,0.06844861200084648,0.0006727512564205386,0.007783719288243292,5.155208406090473e-5,0.0,0.0,0.9843313844335986,2.311899322047366,0.9961872700263742,2.4511950078184954,NaN,NaN
2,1,3,8,false,0.0,0.0,100000.0,0.06765431907828487,0.0014729010125640412,0.007723543314185395,0.00011085986437311822,0.0,0.0,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cou_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cou_d0000,2.0,0.06830409299883594,0.00069763359568608,0.00777061179240782,5.363412403941976e-5,0.0,0.0,0.9904870426935887,2.111281655115151,0.9939427577287527,2.0669651338323143,NaN,NaN
2,2,3,8,false,0.0,0.0,100000.0,0.06753866656634173,0.001556747227872979,0.007727799386164431,0.00011848889556386525,0.0,0.0,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cou_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0000_2cou_d0000,2.0,0.06830409299886352,0.0006976335956903814,0.007770611792408453,5.363412404004087e-5,0.0,0.0,0.9887938423758219,2.2314682628384817,0.9944904716143652,2.2092072478970044,NaN,NaN
2,1,3,8,true,0.0,0.05,100000.0,0.06454526224864403,0.0008324654466352426,0.007653250369395748,7.41558694131751e-5,0.06711233825179262,0.0004450245174344645,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cor_d0000,2.0,0.06585379719262979,0.0004291499711401896,0.007709263348009961,3.255227945278004e-5,0.06797596503980483,0.0002371765691825794,0.9801296963915664,1.939800775061226,0.9927343280303594,2.278054583573625,0.9872951154499022,1.876342671488274
2,2,3,8,true,0.0,0.05,100000.0,0.06454528396513048,0.0008324672536832243,0.007653251968794394,7.415627219318183e-5,0.0671123468175297,0.00044502443048690716,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cor_d0000,2.0,0.06585379719263021,0.0004291499711414254,0.0077092633480099725,3.2552279452874086e-5,0.06797596503980514,0.00023717656918309271,0.9801300261597343,1.939804985816687,0.9927345354948814,2.2780669568943033,0.9872952414611587,1.8763423048900019
2,1,3,8,false,0.0,0.05,100000.0,0.06527774213051724,0.0015177499931079898,0.007686901592077071,0.00011504789368728979,0.06757109864041573,0.0007365753861667305,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cou_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cou_d0000,2.0,0.06533106524063653,0.0004690842695055713,0.007680458798980745,3.5511233893860666e-5,0.06768915798562852,0.0002488666517753707,0.9991838016122515,3.2355593478070435,1.0008388552383332,3.239760522857522,0.9982558603367786,2.95971911428121
2,2,3,8,false,0.0,0.05,100000.0,0.06556574613114548,0.0013843798643993965,0.007706853929112209,0.00010444671668884763,0.06769465338475547,0.0006723144805663922,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cou_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0050_2cou_d0000,2.0,0.06533106524063202,0.00046908426950497745,0.007680458798980579,3.5511233893804294e-5,0.0676891579856253,0.000248866651774495,1.0035921791516649,2.951239157647146,1.00343666059834,2.941230287891253,1.0000811858101608,2.701504905428611
2,1,3,8,true,0.0,0.15,100000.0,0.0577681299009499,0.0007475261682678257,0.007361673862515316,5.8436020928093054e-5,0.18733256454295724,0.0014439252786199665,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0150_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0150_2cor_d0000,2.0,0.05773748554843865,0.0004108086239957426,0.007361168125593799,1.559909784492181e-5,0.18724938940262342,0.0011293030488601869,1.0005307531531753,1.819645753774567,1.0000687033515454,3.7461154169961532,1.0004441944542473,1.2785985835045164
2,2,3,8,true,0.0,0.15,100000.0,0.0577681284652821,0.0007475244976261004,0.007361673059384495,5.843627055105272e-5,0.1873325804218062,0.0014439223255607748,15,72,true,2.0,0001_apc10x7_n15_nsteps72_Re100e05_J0150_2cor_d0000_convergence.csv,0001_apc10x7_n15_nsteps72_Re100e05_J0150_2cor_d0000,2.0,0.057737485548434,0.00041080862399170897,0.00736116812559297,1.5599097845096972e-5,0.18724938940262956,0.0011293030488668022,1.000530728287819,1.8196416870771124,1.0000685942479386,3.746131419351287,1.0004442792547523,1.2785959685574895
